2019-10-21 11:48:15.959 INFO	c.t.a.f.f.r.a.FileDatasetBuilder:165	 ADF Selected; adf type ([ENVISAT_PROCESSOR_CONFIG]), file type (PROCESSOR_CONFIG), filename  (/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000)	
2019-10-21 11:48:29.853 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.290281095580134 longitude 87.11641597658334	
2019-10-21 11:48:29.854 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.3043479703109 longitude 87.2129359978586	
2019-10-21 11:48:29.855 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.31578058955578 longitude 87.3095783777098	
2019-10-21 11:48:29.855 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.324602892344615 longitude 87.4060151592387	
2019-10-21 11:48:29.856 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.33081718115826 longitude 87.50236133559915	
2019-10-21 11:48:29.856 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.334441962878426 longitude 87.59847405407653	
2019-10-21 11:48:29.857 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.335475839909346 longitude 87.69443007664843	
2019-10-21 11:48:29.858 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.333933952913963 longitude 87.79012168796991	
2019-10-21 11:48:29.858 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.329830689903975 longitude 87.88547071681279	
2019-10-21 11:48:29.859 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.32317204412886 longitude 87.98046125032683	
2019-10-21 11:48:29.860 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.31396952501788 longitude 88.07503489851659	
2019-10-21 11:48:29.860 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.30223586505292 longitude 88.16913064211047	
2019-10-21 11:48:29.861 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.2879797339089 longitude 88.26270972648669	
2019-10-21 11:48:29.862 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.271212185068947 longitude 88.35572057788863	
2019-10-21 11:48:29.862 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.25194378296355 longitude 88.44811464933922	
2019-10-21 11:48:29.863 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.230184760919297 longitude 88.53984456685832	
2019-10-21 11:48:29.863 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.20594508926608 longitude 88.6308642854143	
2019-10-21 11:48:29.864 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.17923479373027 longitude 88.72112666517253	
2019-10-21 11:48:29.865 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.150065531506034 longitude 88.81057818098633	
2019-10-21 11:48:29.865 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1172 latitude 24.1184450213028 longitude 88.89918135373769	
2019-10-21 11:48:29.866 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.084387834990917 longitude 88.9868726098732	
2019-10-21 11:48:29.866 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.04789880304488 longitude 89.0736234851778	
2019-10-21 11:48:29.867 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.008990845842042 longitude 89.15937671910902	
2019-10-21 11:48:29.867 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.967673983124953 longitude 89.24408542412732	
2019-10-21 11:48:29.868 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 23.923958877959343 longitude 89.32770080655469	
2019-10-21 11:48:29.869 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.877853666055202 longitude 89.41018095992007	
